Месяц,Торговое наименование,МНН / Действ. вещества,Лек. форма,Страна производителя,Фармако-терапевтическая группа,ЖНВЛП,ПККН,Характер,flag,Кол-во
2024-08-31,агомелатин,агомелатин,таблетки,РОССИЯ,антидепрессант,Да,Нет,,агомелатинтаблетки,9.0
2024-09-30,агомелатин,агомелатин,таблетки,РОССИЯ,антидепрессант,Да,Нет,,агомелатинтаблетки,9.0
2024-10-31,агомелатин,агомелатин,таблетки,РОССИЯ,антидепрессант,Да,Нет,,агомелатинтаблетки,14.0
2024-11-30,агомелатин,агомелатин,таблетки,РОССИЯ,антидепрессант,Да,Нет,,агомелатинтаблетки,25.0
2023-11-30,адваграф,такролимус,капсулы пролонгированного действия,ИРЛАНДИЯ,иммунодепрессивное средство - кальциневрина ингибитор,Да,Нет,,адваграфкапсулы пролонгированного действия,54.0
2023-12-31,адваграф,такролимус,капсулы пролонгированного действия,ИРЛАНДИЯ,иммунодепрессивное средство - кальциневрина ингибитор,Да,Нет,,адваграфкапсулы пролонгированного действия,70.0
2024-11-30,адваграф,такролимус,капсулы пролонгированного действия,ИРЛАНДИЯ,иммунодепрессивное средство - кальциневрина ингибитор,Да,Нет,,адваграфкапсулы пролонгированного действия,47.0
2024-12-31,адваграф,такролимус,капсулы пролонгированного действия,ИРЛАНДИЯ,иммунодепрессивное средство - кальциневрина ингибитор,Да,Нет,,адваграфкапсулы пролонгированного действия,39.0
2023-02-28,адвантан,метилпреднизолона ацепонат,крем для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанкрем для наружного применения,93.0
2023-03-31,адвантан,метилпреднизолона ацепонат,крем для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанкрем для наружного применения,87.0
2023-04-30,адвантан,метилпреднизолона ацепонат,крем для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанкрем для наружного применения,82.0
2023-07-31,адвантан,метилпреднизолона ацепонат,крем для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанкрем для наружного применения,88.0
2023-08-31,адвантан,метилпреднизолона ацепонат,крем для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанкрем для наружного применения,85.0
2023-09-30,адвантан,метилпреднизолона ацепонат,крем для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанкрем для наружного применения,65.0
2023-10-31,адвантан,метилпреднизолона ацепонат,крем для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанкрем для наружного применения,67.0
2023-11-30,адвантан,метилпреднизолона ацепонат,крем для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанкрем для наружного применения,70.0
2024-02-29,адвантан,метилпреднизолона ацепонат,крем для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанкрем для наружного применения,56.0
2024-03-31,адвантан,метилпреднизолона ацепонат,крем для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанкрем для наружного применения,65.0
2024-04-30,адвантан,метилпреднизолона ацепонат,крем для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанкрем для наружного применения,52.0
2024-07-31,адвантан,метилпреднизолона ацепонат,крем для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанкрем для наружного применения,54.0
2024-08-31,адвантан,метилпреднизолона ацепонат,крем для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанкрем для наружного применения,52.0
2024-09-30,адвантан,метилпреднизолона ацепонат,крем для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанкрем для наружного применения,45.0
2024-10-31,адвантан,метилпреднизолона ацепонат,крем для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанкрем для наружного применения,52.0
2024-11-30,адвантан,метилпреднизолона ацепонат,крем для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанкрем для наружного применения,52.0
2023-02-28,адвантан,метилпреднизолона ацепонат,мазь для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения,102.0
2023-03-31,адвантан,метилпреднизолона ацепонат,мазь для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения,107.0
2023-04-30,адвантан,метилпреднизолона ацепонат,мазь для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения,104.0
2023-08-31,адвантан,метилпреднизолона ацепонат,мазь для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения,99.0
2023-09-30,адвантан,метилпреднизолона ацепонат,мазь для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения,98.0
2023-10-31,адвантан,метилпреднизолона ацепонат,мазь для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения,100.0
2023-11-30,адвантан,метилпреднизолона ацепонат,мазь для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения,91.0
2024-02-29,адвантан,метилпреднизолона ацепонат,мазь для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения,86.0
2024-03-31,адвантан,метилпреднизолона ацепонат,мазь для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения,88.0
2024-04-30,адвантан,метилпреднизолона ацепонат,мазь для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения,80.0
2024-07-31,адвантан,метилпреднизолона ацепонат,мазь для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения,76.0
2024-08-31,адвантан,метилпреднизолона ацепонат,мазь для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения,86.0
2024-09-30,адвантан,метилпреднизолона ацепонат,мазь для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения,75.0
2024-10-31,адвантан,метилпреднизолона ацепонат,мазь для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения,80.0
2024-11-30,адвантан,метилпреднизолона ацепонат,мазь для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения,82.0
2023-02-28,адвантан,метилпреднизолона ацепонат,мазь для наружного применения [жирная],ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения [жирная],128.0
2023-03-31,адвантан,метилпреднизолона ацепонат,мазь для наружного применения [жирная],ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения [жирная],145.0
2023-04-30,адвантан,метилпреднизолона ацепонат,мазь для наружного применения [жирная],ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения [жирная],143.0
2023-07-31,адвантан,метилпреднизолона ацепонат,мазь для наружного применения [жирная],ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения [жирная],126.0
2023-08-31,адвантан,метилпреднизолона ацепонат,мазь для наружного применения [жирная],ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения [жирная],104.0
2023-09-30,адвантан,метилпреднизолона ацепонат,мазь для наружного применения [жирная],ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения [жирная],114.0
2023-10-31,адвантан,метилпреднизолона ацепонат,мазь для наружного применения [жирная],ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения [жирная],89.0
2023-11-30,адвантан,метилпреднизолона ацепонат,мазь для наружного применения [жирная],ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения [жирная],101.0
2024-02-29,адвантан,метилпреднизолона ацепонат,мазь для наружного применения [жирная],ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения [жирная],97.0
2024-03-31,адвантан,метилпреднизолона ацепонат,мазь для наружного применения [жирная],ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения [жирная],87.0
2024-04-30,адвантан,метилпреднизолона ацепонат,мазь для наружного применения [жирная],ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения [жирная],90.0
2024-07-31,адвантан,метилпреднизолона ацепонат,мазь для наружного применения [жирная],ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения [жирная],79.0
2024-08-31,адвантан,метилпреднизолона ацепонат,мазь для наружного применения [жирная],ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения [жирная],69.0
2024-09-30,адвантан,метилпреднизолона ацепонат,мазь для наружного применения [жирная],ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения [жирная],73.0
2024-10-31,адвантан,метилпреднизолона ацепонат,мазь для наружного применения [жирная],ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения [жирная],89.0
2024-11-30,адвантан,метилпреднизолона ацепонат,мазь для наружного применения [жирная],ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанмазь для наружного применения [жирная],66.0
2023-02-28,адвантан,метилпреднизолона ацепонат,эмульсия для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанэмульсия для наружного применения,70.0
2023-03-31,адвантан,метилпреднизолона ацепонат,эмульсия для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанэмульсия для наружного применения,55.0
2023-04-30,адвантан,метилпреднизолона ацепонат,эмульсия для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанэмульсия для наружного применения,84.0
2023-07-31,адвантан,метилпреднизолона ацепонат,эмульсия для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанэмульсия для наружного применения,44.0
2023-08-31,адвантан,метилпреднизолона ацепонат,эмульсия для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанэмульсия для наружного применения,31.0
2023-10-31,адвантан,метилпреднизолона ацепонат,эмульсия для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанэмульсия для наружного применения,53.0
2023-11-30,адвантан,метилпреднизолона ацепонат,эмульсия для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанэмульсия для наружного применения,44.0
2024-02-29,адвантан,метилпреднизолона ацепонат,эмульсия для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанэмульсия для наружного применения,22.0
2024-03-31,адвантан,метилпреднизолона ацепонат,эмульсия для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанэмульсия для наружного применения,19.0
2024-04-30,адвантан,метилпреднизолона ацепонат,эмульсия для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанэмульсия для наружного применения,2.0
2024-07-31,адвантан,метилпреднизолона ацепонат,эмульсия для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанэмульсия для наружного применения,8.0
2024-08-31,адвантан,метилпреднизолона ацепонат,эмульсия для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанэмульсия для наружного применения,14.0
2024-09-30,адвантан,метилпреднизолона ацепонат,эмульсия для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанэмульсия для наружного применения,8.0
2024-10-31,адвантан,метилпреднизолона ацепонат,эмульсия для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанэмульсия для наружного применения,6.0
2024-11-30,адвантан,метилпреднизолона ацепонат,эмульсия для наружного применения,ИТАЛИЯ,глюкокортикостероид для местного применения,Нет,Нет,,адвантанэмульсия для наружного применения,4.0
2023-02-28,адемпас,риоцигуат,таблетки,ГЕРМАНИЯ,антигипертензивные средства; другие антигипертензивные средства; антигипертензивные средства для лечения легочной артериальной гипертензии,Да,Нет,,адемпастаблетки,115.0
2023-04-30,адемпас,риоцигуат,таблетки,ГЕРМАНИЯ,антигипертензивные средства; другие антигипертензивные средства; антигипертензивные средства для лечения легочной артериальной гипертензии,Да,Нет,,адемпастаблетки,120.0
2023-06-30,адемпас,риоцигуат,таблетки,ГЕРМАНИЯ,антигипертензивные средства; другие антигипертензивные средства; антигипертензивные средства для лечения легочной артериальной гипертензии,Да,Нет,,адемпастаблетки,115.0
2023-11-30,адемпас,риоцигуат,таблетки,ГЕРМАНИЯ,антигипертензивные средства; другие антигипертензивные средства; антигипертензивные средства для лечения легочной артериальной гипертензии,Да,Нет,,адемпастаблетки,91.0
2024-02-29,адемпас,риоцигуат,таблетки,ГЕРМАНИЯ,антигипертензивные средства; другие антигипертензивные средства; антигипертензивные средства для лечения легочной артериальной гипертензии,Да,Нет,,адемпастаблетки,97.0
2024-04-30,адемпас,риоцигуат,таблетки,ГЕРМАНИЯ,антигипертензивные средства; другие антигипертензивные средства; антигипертензивные средства для лечения легочной артериальной гипертензии,Да,Нет,,адемпастаблетки,84.0
2024-06-30,адемпас,риоцигуат,таблетки,ГЕРМАНИЯ,антигипертензивные средства; другие антигипертензивные средства; антигипертензивные средства для лечения легочной артериальной гипертензии,Да,Нет,,адемпастаблетки,81.0
2024-11-30,адемпас,риоцигуат,таблетки,ГЕРМАНИЯ,антигипертензивные средства; другие антигипертензивные средства; антигипертензивные средства для лечения легочной артериальной гипертензии,Да,Нет,,адемпастаблетки,81.0
2023-02-28,аденурик,фебуксостат,таблетки,ГЕРМАНИЯ,противоподагрическое средство - ксантиноксидазы ингибитор,Нет,Нет,,аденуриктаблетки,68.0
2023-03-31,аденурик,фебуксостат,таблетки,ГЕРМАНИЯ,противоподагрическое средство - ксантиноксидазы ингибитор,Нет,Нет,,аденуриктаблетки,58.0
2023-04-30,аденурик,фебуксостат,таблетки,ГЕРМАНИЯ,противоподагрическое средство - ксантиноксидазы ингибитор,Нет,Нет,,аденуриктаблетки,55.0
2023-08-31,аденурик,фебуксостат,таблетки,ГЕРМАНИЯ,противоподагрическое средство - ксантиноксидазы ингибитор,Нет,Нет,,аденуриктаблетки,51.0
2023-10-31,аденурик,фебуксостат,таблетки,ГЕРМАНИЯ,противоподагрическое средство - ксантиноксидазы ингибитор,Нет,Нет,,аденуриктаблетки,53.0
2024-02-29,аденурик,фебуксостат,таблетки,ГЕРМАНИЯ,противоподагрическое средство - ксантиноксидазы ингибитор,Нет,Нет,,аденуриктаблетки,41.0
2024-03-31,аденурик,фебуксостат,таблетки,ГЕРМАНИЯ,противоподагрическое средство - ксантиноксидазы ингибитор,Нет,Нет,,аденуриктаблетки,47.0
2024-04-30,аденурик,фебуксостат,таблетки,ГЕРМАНИЯ,противоподагрическое средство - ксантиноксидазы ингибитор,Нет,Нет,,аденуриктаблетки,44.0
2024-08-31,аденурик,фебуксостат,таблетки,ГЕРМАНИЯ,противоподагрическое средство - ксантиноксидазы ингибитор,Нет,Нет,,аденуриктаблетки,34.0
2024-10-31,аденурик,фебуксостат,таблетки,ГЕРМАНИЯ,противоподагрическое средство - ксантиноксидазы ингибитор,Нет,Нет,,аденуриктаблетки,42.0
2023-03-31,адисорд,нифуроксазид,капсулы,РОССИЯ,противомикробное средство - нитрофуран,Нет,Нет,,адисордкапсулы,129.0
2023-09-30,адисорд,нифуроксазид,капсулы,РОССИЯ,противомикробное средство - нитрофуран,Нет,Нет,,адисордкапсулы,107.0
